region,rvalue-s,pvalue-s,fdr-pvalue-s,rvalue,pvalue,fdr-pvalue
A4ul_R,-0.16025756169922406,0.042281303224779826,0.3055165136242155,-0.11818704158469498,0.13539035400870772,0.4690144119526825
A4t_R,-0.10981299947491524,0.16552980348252375,0.5275247051322538,-0.09067076427569276,0.25267485770160764,0.5825447979081074
A4tl_R,-0.08799235064727581,0.2670194338621467,0.6287732662949036,-0.1179749545967386,0.1360979320398409,0.4690144119526825
A6cvl_R,-0.05389235745755344,0.49714874973070977,0.7305966194863602,-0.04916754913393258,0.5356660812661495,0.7142214416881992
3ll_R,-0.01298621451450549,0.8701251139391555,0.9430875857800902,-0.043017326114627656,0.5879379833718339,0.7398770127825326
A4ll_R,-0.20879790228843542,0.007858997304564679,0.23823457696050757,-0.1868202319154577,0.01764697474703899,0.2960800520256456
A38m_R,-0.09625263328558492,0.22451294681123773,0.5828679615889953,-0.10562948541785096,0.18234201008888812,0.5304494838949473
42_R,-0.0856149587876996,0.28020828351817645,0.6287732662949036,-0.11937159845626864,0.1314900201015665,0.4690144119526825
TE1.2_R,-0.049248653333781714,0.5349925665678283,0.7623805656627402,-0.053273834431212204,0.5021065238535646,0.6986550078946445
A22c_R,-0.22744340579876465,0.003712932896827092,0.23823457696050757,-0.18349810193920124,0.01980572051085395,0.2960800520256456
A38l_R,-0.08151222671935329,0.30398419841981367,0.6287732662949036,-0.08595968605800618,0.2782691668578906,0.5825447979081074
A22r_R,-0.11343398731209746,0.15193511549984143,0.5235917826456074,-0.12232769748455456,0.12213310282427571,0.455963583877296
A21c_R,-0.10392866610403455,0.18952432798860988,0.5275247051322538,-0.08866575541050942,0.2633617870886293,0.5825447979081074
A21r_R,-0.11092676035680665,0.16125508686502193,0.5275247051322538,-0.1257725295172863,0.11188909542038562,0.4475563816815425
A37dl_R,-0.13807337965033878,0.08069291154618395,0.39524964820141106,-0.13030166426241466,0.0994570100082975,0.4429342873577402
aSTS_R,-0.07068701524225383,0.3729054213624885,0.6759143010264159,-0.06705764792217779,0.3980057636222767,0.6507539492802188
A20iv_R,0.027963226295372075,0.7247499307697796,0.8681496496921424,0.048334146721302026,0.5426113328079449,0.7167193997297489
A37elv_R,-0.1344654566886882,0.08901563793904833,0.4001267454139397,-0.16946999419948824,0.03162263769474367,0.2960800520256456
A20r_R,-0.038900967822998525,0.6241781809394791,0.8107354640255484,-0.041520201453307405,0.6010070335837315,0.7437877100704744
A20il_R,-0.027163327901753114,0.7323196226560533,0.871569402176679,-0.014207955921594883,0.8580295146592352,0.9295690221636008
A37vl_R,-0.03949603751175425,0.6188803359961415,0.810697048322431,-0.07162659832121113,0.36656915206225604,0.6365231787747703
A20cl_R,-0.1844074081175485,0.01919326266687908,0.23823457696050757,-0.14778114483270813,0.06137180905966928,0.38186903414905327
A20cv_R,-0.10414938270264812,0.1885807841577764,0.5275247051322538,-0.09140404862376991,0.24884217987522855,0.5825447979081074
A20rv_R,-0.066682379439958,0.40065737344260766,0.6878165747561116,-0.06814663009766854,0.3903706444890734,0.6470263930334592
A37mv_R,-0.11022846601348195,0.16392543467873757,0.5275247051322538,-0.07891968023317063,0.31967353119660846,0.6160537164027712
A37lv_R,-0.18021870924834785,0.022157019780000838,0.23823457696050757,-0.17159029144610635,0.029522332299535478,0.2960800520256456
36r_R,-0.18493985795378523,0.01884230100626455,0.23823457696050757,-0.17548752156771893,0.02597097768637971,0.2960800520256456
36c_R,0.010809358504890523,0.8917496091783084,0.9466915282272089,0.008671242911584096,0.9130672709682491,0.9543058841739357
TL_R,-0.08227391537339226,0.29947265351595287,0.6287732662949036,-0.08670319335991142,0.27411774279312096,0.5825447979081074
34_R,0.00421381166372701,0.9576913517187202,0.9840498292889602,0.002157386193341574,0.97833140357785,0.9939263164167532
TI_R,0.018320933447752027,0.8175676066928472,0.9219805142610618,-0.00956439181178698,0.9041538780054192,0.9543058841739357
TH_R,0.04652081191196132,0.5578748867048905,0.7810248413868467,0.040448503158675826,0.6104413977814769,0.7440876468142469
rpSTS_R,-0.06362841186306306,0.42262455650648056,0.7003477881144854,-0.05686601044196217,0.47367855593052527,0.6845419130866947
cpSTS_R,-0.026430471036455815,0.7392776179177187,0.871569402176679,-0.04186067748844699,0.5980234702103591,0.7437877100704744
A7r_R,-0.054561720214133164,0.49181271527687576,0.7295764782915243,-0.05382208015235194,0.4977107539527488,0.6986550078946445
A7c_R,-0.0985910751571705,0.21340136737083348,0.5623753681301965,-0.12249734663355197,0.12161217582117248,0.455963583877296
A5l_R,-0.12971365140326924,0.10100651992049392,0.41137200840346616,-0.12867140106702574,0.1037997656645938,0.4429342873577402
