region,cohen_d,pvalue-s,fdr-pvalue-s
A6m_L,0.3345143326613943,6.539022950331531e-05,0.0016274901565269588
A9m_L,0.03782903364047299,0.6495520837725512,0.8047531573440945
A10m_L,-0.07348525128385452,0.3775250003293372,0.5944464369292112
46d_L,-0.08302731781859879,0.31878046996216153,0.5712546021721935
IFJ_L,-0.07885808108207404,0.34366860896734575,0.5840231495497631
A46_L,-0.027056853273393654,0.7451754391323022,0.8604087544620397
46v_L,-0.08254104175755424,0.32162077876777506,0.5714291395093541
A8vl_L,-0.08665697250186828,0.2981013758926838,0.5428838065037493
A6vl_L,0.11237329223486073,0.17737110025319763,0.4054196577215946
A10l_L,-0.07105131004346739,0.3935180917615554,0.5996466160176082
A44d_L,-0.05180067609376961,0.5338367803624084,0.7160445437196377
IFS_L,0.0130387845240433,0.8755386074763291,0.9428877311283543
A45c_L,-0.11970421084130742,0.1507892230077604,0.36713897775802534
A45r_L,-0.015521734788798142,0.8520897481477205,0.9402369634733468
A44op_L,-0.1156163623149674,0.16520930276657986,0.38548837312201967
A44v_L,0.018001970855568414,0.8287966430803152,0.9190616240098545
A14m_L,-0.10776412568512848,0.19578867995371135,0.4226899469942766
47o_L,-0.004499918876128558,0.956891058125793,0.9858173898942386
A11l_L,0.010916956698321094,0.8956650427357421,0.9458221841966648
A11m_L,-0.32967517334460855,8.304733817322179e-05,0.001860260375080168
A13_L,0.012188184708220529,0.8835979709523233,0.9458221841966648
47l_L,-0.06983754913576845,0.40164497871506555,0.6062068728506297
A4hf_L,0.35656946458152317,2.1187638856625308e-05,0.0009492062207768138
A6cdl_L,0.29751972785716807,0.0003769883774882059,0.007037116379779844
A4ul_L,0.2472754874623012,0.003077620463023473,0.03133577198714809
A4t_L,0.3438843255393236,4.081701443503926e-05,0.0014726096504017725
A4tl_L,0.09851730251993937,0.2368994344375822,0.4729224259835944
A6cvl_L,0.24823192240891476,0.0029659599029742386,0.03133577198714809
3ll_L,0.3593547495885399,1.8296957540526608e-05,0.0009492062207768138
A4ll_L,0.3619574430258732,1.593926686765906e-05,0.0009492062207768138
A38m_L,0.00022311554680713282,0.9978615260550711,0.9979373259584683
42_L,0.006152608394372257,0.9410833934326657,0.9788284819301263
TE1.2_L,0.13943087958217318,0.09432323494209907,0.29758316376098864
A22c_L,0.1327881808456572,0.11105185911715096,0.3107217954334124
A38l_L,-0.04679133594447016,0.574108799895474,0.7390825929688861
A22r_L,0.12491655561690591,0.13382196945900687,0.34855954835834346
A21c_L,-0.02767442574357827,0.7395683044302732,0.8583590683543066
A21r_L,0.002226528641452812,0.9786621314937022,0.9876979841426076
A37dl_L,-0.13404858421347712,0.10770893835727396,0.3088186291289441
aSTS_L,0.09973994756495021,0.23113742194653078,0.4729224259835944
A20iv_L,-0.07899350632062245,0.34284114190089354,0.5840231495497631
A37elv_L,-0.22164259576169898,0.007933289562861826,0.05553302694003279
A20r_L,-0.15742891708231577,0.058973505514627024,0.2269129275602542
