region,rvalue-s,pvalue-s,fdr-pvalue-s,rvalue,pvalue,fdr-pvalue
A20il_R,0.013804801332833393,0.7877026382948962,0.9183570228089439,0.013411314014728662,0.793615611223615,0.9156959428080576
A37vl_R,-0.0002817995072753098,0.9956141312553508,0.9956141312553508,-0.026094688959424798,0.6106817094315384,0.8443994006954606
A20cl_R,-0.07335929757898348,0.15188402133143342,0.6213575334817093,-0.05135219485736911,0.31617031876564666,0.7293458828909049
A20cv_R,-0.026320796826161258,0.6075922180812585,0.8583965818222788,-0.03087939949309981,0.5468479124657615,0.8189369234321734
A20rv_R,-0.13320597193985612,0.009053897648888566,0.31685829451374303,-0.1345761013692943,0.00836172112103035,0.3480904732826883
A37mv_R,-0.06296200963161522,0.21892812187150062,0.6626065024500135,-0.02318726264939092,0.6510087545263568,0.8491634652908108
A37lv_R,-0.12207320651853956,0.01684120084241527,0.31685829451374303,-0.11980477411558481,0.019005893425533046,0.35854367136503545
36r_R,-0.06621758492272078,0.19598080976183596,0.655219423681362,-0.075303461495365,0.14129381085200915,0.5754511569245464
36c_R,-0.026611331444799664,0.6036326443415568,0.8583965818222788,-0.03805087549592962,0.4577813003195258,0.7834614390150335
TL_R,-0.022551035829299883,0.6599763075718904,0.8729190851746559,-0.0173497013073129,0.7350195817299666,0.8775884344184438
34_R,-0.11561075197050465,0.02365148522799142,0.31685829451374303,-0.11155110819019372,0.029052071167331998,0.3863444784359175
TI_R,0.09502829514446307,0.06318776948106937,0.4423143863674856,0.07803740211650051,0.12736991026276115,0.5754511569245464
TH_R,-0.04071091137914331,0.42693149938397346,0.814131229295055,-0.04755796151904501,0.35329824998853493,0.7537029333088745
rpSTS_R,-0.012179727154687486,0.8121978210974357,0.9235142737351553,-0.011264212576874814,0.8260803434960012,0.9367538019105915
cpSTS_R,-0.06845313027420076,0.18127359863598813,0.6246967091455591,-0.07007730304783927,0.17111176834458444,0.5905786138404719
A7r_R,-0.044615799705659466,0.3839026428004908,0.7900313949414967,-0.03568082396364653,0.486286819371936,0.7972284468531027
A7c_R,-0.0057140853490516355,0.9112498029646684,0.9719997898289796,-0.018609700926378658,0.7165749740319753,0.8775884344184438
A5l_R,0.013567778320855432,0.7912629705452062,0.9183570228089439,0.020405200223034773,0.6905757805287484,0.8645135264109666
A7pc_R,-0.04054034447794772,0.4288727011465022,0.814131229295055,-0.04316084049676135,0.3996167196612972,0.7675839199821332
A7ip_R,0.052438854456881366,0.3060249088440116,0.714973805835403,0.046763684625251024,0.36140488512241614,0.7565859277329086
A39c_R,-0.051664859494663457,0.3132288998164959,0.7233327171020111,-0.04107908555410822,0.4227587841820043,0.7767519976200937
A39rd_R,0.031070248725996424,0.5443715786233134,0.8468002334140431,0.03155711964841472,0.5380795169384953,0.8189369234321734
A40rd_R,0.0027272037347122764,0.9575740902227047,0.9747592355449838,-0.020085982074175657,0.6951726766321634,0.86510377536447
A40c_R,-0.01231727785115671,0.8101170113220408,0.9235142737351553,-0.024067913133723192,0.6386788487605144,0.8491634652908108
A39rv_R,-0.009073823871118929,0.8595072568469205,0.939005423162522,0.00522468555340886,0.9188236721745964,0.9668141599303355
A40rv_R,-0.04356648143775049,0.39519737275313715,0.7959070163771365,-0.05954745290993818,0.24499613965844458,0.6521009486194939
A7m_R,0.027795789185082975,0.5876111221859857,0.8583965818222788,0.03989064201548911,0.43631355065151955,0.781873882767523
A5m_R,-0.03767777853729434,0.46220577579623556,0.8235071993091795,-0.030395525254739146,0.5531511351998211,0.8189369234321734
dmPOS_R,0.0031984588825036235,0.9502517531638128,0.9747592355449838,-0.003920337272901572,0.9390435656552171,0.9783523660779936
A31_R,-0.03845076055699642,0.4530655516884394,0.8235071993091795,-0.042475790210995866,0.4071470365857066,0.7675839199821332
3ulhf_R,-0.05447465593670477,0.2876027919486319,0.714973805835403,-0.038331747745053955,0.4544661787770931,0.7834614390150335
3tonIa_R,-0.07084901584383155,0.16643505361117214,0.6213575334817093,-0.06983294758617441,0.17261284897224144,0.5905786138404719
A2_R,-0.05596030305024656,0.27463919071928855,0.714973805835403,-0.040542165090497434,0.4288519540148892,0.7767519976200937
3tru_R,-0.06095122898199514,0.2340279820953843,0.6637837669202049,-0.007093477242849548,0.8899479497216478,0.9630354625007203
G_R,0.012267626771509589,0.8108679588817586,0.9235142737351553,0.019387002296572572,0.705277187717139,0.8728292267880615
vIa_R,0.027322765236857147,0.5939859548424196,0.8583965818222788,0.026822655978070417,0.6007598694487297,0.8387329873125885
dIa_R,-0.03499675820234442,0.49468861816911847,0.843898987090609,-0.03308339518379878,0.5185933396549152,0.8095469135737897
vIg_R,-0.032301529645286785,0.5285299757273263,0.8451903026221329,-0.013176753972027293,0.797146021640943,0.9156959428080576
dIg_R,0.054423249165386635,0.2880586033693191,0.714973805835403,0.024288319449617905,0.6356082933093108,0.8491634652908108
dId_R,-0.06636979926631736,0.19495259238058216,0.655219423681362,-0.07627294483756246,0.13622868055208218,0.5754511569245464
